instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 81681 nodes",12297.0,11392.99999884458,7388.297842105265,4908.702157894735,0.39917883694354195,0,0,1,81681,26,3320.7709999999997,3936.4309606105603,0.0686,60.183267,60.0016374,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 79347 nodes",29.00000000000038,0.9999999999990905,0.0,29.00000000000038,1.0,0,0,1,79347,0,0.0,0.0,0.0000,60.143129,60.0016007,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 101312 nodes",9.00000000000012,1.0,0.0,9.00000000000012,1.0,0,0,1,101312,0,0.0,0.0,0.0000,60.143230,60.001102,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 78044 nodes",28.000000000000167,1.0,0.0,28.000000000000167,1.0,0,0,1,78044,0,0.0,0.0,0.0000,60.223475,60.0015544,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.353154,0.0054906,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 6199 nodes",12128868.0,11807698.0,10876328.04310821,1252539.95689179,0.10326932050804659,0,0,1,6199,211,10593526.0,10851312.359384464,0.1679,60.469133,60.0048794,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 37753 nodes",119.0,119.0,114.0,5.0,0.04201680672268908,1,0,1,37753,90,100.87875,110.17697959822476,0.5131,61.549590,60.0019851,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 56579 nodes",14494.0,14393.0,11682.0,2812.0,0.1940113150269077,0,0,1,56579,26,8877.000000000002,8877.0,0.0000,60.142292,60.0018516,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,3,-11980000.0,-11980000.0,0.0000,0.537911,0.0061962,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 46999 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,46999,0,13.0,13.0,0.0000,60.630674,60.0004825,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 55937 nodes",-39.0,-41.00000885,-43.0,4.0,0.10256410256410256,0,0,1,55937,28,-43.00000000000001,-42.99999999999999,0.0000,60.254556,60.001555,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 46547 nodes",-15.999999999999998,-16.00000000000012,-20.0,4.000000000000002,0.25000000000000017,1,0,1,46547,0,-20.02139037433155,-20.02139037433155,0.0000,60.138753,60.0007681,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,311,35,6875.0,7155.0,0.3784,2.165063,1.8501978,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 71140 nodes",16.999999999999883,11.0,4.140769125827547,12.859230874172336,0.7564253455395544,0,0,1,71140,0,0.0,0.0,0.0000,60.111721,60.0010653,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 40021 nodes",3839.0,3663.999999980964,3458.355109258558,380.64489074144194,0.09915209448852356,0,0,1,40021,23,3157.377442025726,3176.664832812793,0.0283,60.098461,60.0005566,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 50786 nodes",3385.0,3252.0,3099.3168498168498,285.68315018315025,0.08439679473652888,0,0,1,50786,23,2691.439468864469,2785.5366048439582,0.1357,60.113820,60.0005645,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 50910 nodes",14.999999999999996,14.99999999990919,14.0,0.9999999999999964,0.06666666666666644,1,0,1,50910,0,13.244444444444444,13.244444444444444,0.0000,60.128806,60.0016283,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,80,29,272.00000000000017,273.5,0.0937,0.977783,0.5715086,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,91,66,272.0,275.0,0.1875,1.209217,0.8206565,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 27939 nodes",1231094.99999974,764771.99999978,285746.9999998,945347.9999999399,0.7678919985867375,0,0,1,27939,375,28693.99999999998,243080.2079988252,0.1783,60.294349,60.0009577,8358f75,Windows-AMD64,2026-09-22T18:32:19+00:00,enable_root_cuts=true mip_threads=1,1
