instance,sha256,engine,status,first_seconds,found_at_10s,found_at_limit,limit_seconds,our_objective,reference_objective,abs_gap,rel_gap,points,verified,wall_seconds,work,moves,weight_updates,restarts,rejected,git_commit,machine,gpu,timestamp_utc
mc11,55f4d9c9d2022cffeb3e07cd7398753f5aab720f16fa49ab17223375bab83874,gpu,found,1.428,1,1,60.0,30886.0,11688.99999999966,19197,1.64231,364,1,60.001,27124291278,16290887,29589317,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:40:33+00:00
mik-250-20-75-4,1fa6126895fa59d1c613787ad19bb10e6080a39207224b018a43b95440dca4ef,cpu,found,0.000,1,1,60.0,-50894.0,-52301.0,1407,0.026902,76,1,60.001,4989113870,137014,2093482,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:41:33+00:00
mik-250-20-75-4,1fa6126895fa59d1c613787ad19bb10e6080a39207224b018a43b95440dca4ef,gpu,found,0.481,1,1,60.0,-51177.0,-52301.0,1124,0.021491,18,1,60.346,399339092903,1110613,12920747,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:42:34+00:00
n5-3,48efedf21c4057851a4ef7efc79fbbcbd292b68ee5f6b6a16e904d11ab11bacc,cpu,found,0.249,1,1,60.0,12638.0,8104.999999993999,4533,0.559284,64,1,60.001,4001751350,3791680,20998255,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:43:34+00:00
n5-3,48efedf21c4057851a4ef7efc79fbbcbd292b68ee5f6b6a16e904d11ab11bacc,gpu,found,7.739,1,1,60.0,12336.0,8104.999999993999,4231,0.522023,59,1,60.280,29698883701,7534239,31114989,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:44:34+00:00
rococoC10-001000,672eff60e166bf14a0ac4781bcf4fcce443c24851e510f69555c1447fb6729c2,cpu,none,,0,0,60.0,,11460.0,,,0,1,60.000,6005234753,92591,27544785,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:45:34+00:00
rococoC10-001000,672eff60e166bf14a0ac4781bcf4fcce443c24851e510f69555c1447fb6729c2,gpu,none,,0,0,60.0,,11460.0,,,0,1,60.161,78503274718,1587216,301415804,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:46:35+00:00
uct-subprob,509d9d593796d1234e4f831bbab22c7f289e45a145b24c58e310c9d3faa23216,cpu,found,0.011,1,1,60.0,379.0,314.0,65,0.207006,91,1,60.002,5924726350,3393858,7345887,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:47:35+00:00
uct-subprob,509d9d593796d1234e4f831bbab22c7f289e45a145b24c58e310c9d3faa23216,gpu,found,0.300,1,1,60.0,348.0,314.0,34,0.10828,51,1,60.002,72072531890,30772385,62012651,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:48:35+00:00
qap10,86c1f147d75688fe154f9dd402032f0c3b8ce164a70e4d0e350fec6c00d20c66,cpu,found,0.002,1,1,60.0,468.0,339.9999999983871,128,0.376471,1,1,60.000,4300012838,8462835,11517071,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:49:35+00:00
qap10,86c1f147d75688fe154f9dd402032f0c3b8ce164a70e4d0e350fec6c00d20c66,gpu,found,0.389,1,1,60.0,378.0,339.9999999983871,38,0.111765,2,1,60.005,46183044500,27142281,30720259,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:50:35+00:00
reblock115,cfc1223e622ed133400b5614cd382b6aa9a84fabfcea63510158b6c16e1e951c,cpu,found,0.000,1,1,60.0,0.0,-36800603.2332,3.68006e+07,1,1,1,60.000,8877350332,368027,10201247,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:51:35+00:00
reblock115,cfc1223e622ed133400b5614cd382b6aa9a84fabfcea63510158b6c16e1e951c,gpu,found,0.256,1,1,60.0,-2853973.6464666356,-36800603.2332,3.39466e+07,0.922448,1,1,60.001,238943420273,1651786,308908982,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:52:36+00:00
roll3000,47a0a827ac2d697b717fb55401afa5de9e042f026d6a462fb97d968a869d282d,cpu,none,,0,0,60.0,,12889.999992,,,0,1,60.001,4135258068,1606999,1615417,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:53:36+00:00
roll3000,47a0a827ac2d697b717fb55401afa5de9e042f026d6a462fb97d968a869d282d,gpu,none,,0,0,60.0,,12889.999992,,,0,1,60.065,163604889200,5130328,4758324,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:54:36+00:00
neos-3024952-loue,6c5f4b9dcb2bf75ce068fb2eea1a2ce911b028390e0fe6b98bd6ddb8690be5cb,cpu,found,42.561,0,1,60.0,237170.0,26756.0,210414,7.86418,10,1,60.000,5084195631,3771019,18378771,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:55:36+00:00
neos-3024952-loue,6c5f4b9dcb2bf75ce068fb2eea1a2ce911b028390e0fe6b98bd6ddb8690be5cb,gpu,none,,0,0,60.0,,26756.0,,,0,1,60.002,49226885734,5970809,29486099,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:56:36+00:00
