problem,reference_objective,sense,variables,constraints,source,mod_sha256,nl_sha256
hs013,1.0,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs013.mod,6ad552ff63bc5bbaa0499a27ff2b0baa52030915e72b628e3fa2045fd981eb20,690ff61401f8c598e2f835804894d3cbe2b550d3fa46142c0c3f7829b6f165b0
hs014,1.393464980689302,minimize,2,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs014.mod,e14cd7013c35a467d352ebd39a48872e75796b9532ef4e7a8e70d7e4071747eb,a5fd5ed43ef90a0592864fc5a8dc1e7a18e9da97a497aa87626bd437edeabc24
hs015,306.5,minimize,2,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs015.mod,4b9885834f331cd561010b4910250e87d0235b81411914f8d3aea404b5400af1,057eb8142a2ca7494fd0f3f081b6c0ef6dd76ecdb54d6be7a43e6bbcef32290d
hs016,0.25,minimize,2,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs016.mod,12f7a7baf490dcebdeafc414f6dd8aa8737ccb3b845df49219cbd5be17e2aad0,3b0e9f7c58900c5eb35c7e0a5a7ca22f4694a7f04bf6fb464e4333c3038e67f6
hs017,1.0,minimize,2,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs017.mod,42eeef2e12fd19a83fe08326f47f524b88d7a3f09381bebfa726fc43ab8fc642,021f4057934a55d8f1080ef1dca30db8c1633a0f8af4afcb35779c4f7b6d8ec8
hs018,5.0,minimize,2,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs018.mod,1c15780b30d0bb243875de4552217f1b5a26bee148a6c8b1ae640c34f5977752,1c8d85413e279c2140448077428f9e98c9f1e149252fd84d0dffac7a40a313e9
hs019,-6961.81381,minimize,2,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs019.mod,6ce7ad18f04326895faa1a3803aaaa40bdb615a84e0dab2e3ad2ae740819c322,b992f3db6aa577e9ee826e8ecb45368e139a6a4fe5ba6419c3cda1220f9d7440
hs020,38.19872981077807,minimize,2,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs020.mod,454eb7ad72a65de9964851ec6903447bdb56ba5b2743b91f7012bd0c9aa24b6b,d234132ce18a0554f7652335976e46525e9038ebf216882f015ec2180fc54bfc
hs021,-99.96,minimize,2,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs021.mod,aa3df7b333afdbe827fe54e766d8765932040c142339c4ea9aa93f2fe4bad457,c41a795f9ffe0510a89e81ffbe842a5349f0bf84c8a38e9f0f8e75d5aac49a4d
hs022,1.0,minimize,2,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs022.mod,8333f3f8556340d0e6228038a24c62e5255549b45fdf4afd11b231a5ceb82316,c849c7e4f9657807a92f307255861b012eda7804de3f9116f454c51e6236d40d
hs023,2.0,minimize,2,5,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs023.mod,4505885b961440825b1f58813a3490997e02b3e49a8bd00805d5f857126b683e,3cc3cb6fef6d501a87b97ae980d396f6baf359d7b76a2205e4de053265a3f723
hs024,-1.0,minimize,2,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs024.mod,a7af11e479d83ba743408e2cc61d84dc91fe78fd92926889ebfb571d7c6a1be8,75f3213ac525ce323af202ca937ca9734fd0e519855078959bc74241d6f15886
hs026,-0.0,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs026.mod,8359b013381a25bf81b1f6fe93a0b9503fe3dc090566253e3bd0ed437118fecb,2d4a064b7b171b710db29df10a01652ee3ebb3a50f28748cdcb25cb76ff00d23
hs027,0.04,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs027.mod,74d605f38a9e87162b1cfa3571ceb7646e176047703020c5a40f89a892239b29,003c2ea9b58e5764191636834d91ab81dcd8f70e33a32f1f3c4332a9c3159595
hs028,-0.0,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs028.mod,4b6c3ce52fd686308e7c94b0c278bb08447ff77f7777dc9dc47ac2295bc04556,7994fa2950fc3a3eec64cbca0d4eec57f8fd99b7bc2e26c1bacf381c76d5cc66
hs029,-22.627416997969522,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs029.mod,e1cb05168ec20dc4e9269d103c2b47ceb5c6a6ef5a320ca6da9e14b95e643cc4,4bdcfa5f8f38affefb3efa96bc01ec52ac712b83e94b95d5de3b8346074422ea
hs030,1.0,minimize,3,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs030.mod,6c557f1d96bb72a21a225f15926f9d97ba895cedbba371347188ba24756a4ee8,df7206e32d8243bae0b68496146ecbdd8fdeee615460c8cf0704c907c95d6381
hs031,6.0,minimize,3,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs031.mod,75de5ea58d26c5c5fab620630e7f7c96d25097bb5e1fe0d441c38d1a061c5bb1,a4725c07f89b070f099b1eca022977615a9fb6d0d00a158d92b90b20e7b429d2
hs032,1.0,minimize,3,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs032.mod,92399ec9a531561b9e565a1ac32f6f3499f9a12a9f7eb111470f7a26a9c7f9ac,adf8933a6b79a5b0a9f1731c2eb1c23bbf93cfc0a682af0f7ca25169745fbfbf
hs033,-4.585786437626905,minimize,3,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs033.mod,581f8759466eae7cb3fbbfd20cca80dab0e1096bb78332f86d530f68d4771c20,f4710ef1b7943b48411693b8b794ef954437f3d296bced64da76918850c94d6f
hs034,-0.834032445247956,minimize,3,5,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs034.mod,dd3fb043b03a7a623c33d1aca25ff9e820b39a710f71851b2df4a8dbd093bf17,fde15ad1d4caebacec9eb66f6ffff291a84b975cde61d17eb2061164a366d96d
hs035,0.1111111111111111,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs035.mod,e494549fc65b238d5ca6ebfc520e49873c6a9b82aba185953e9f44ded8d0c11f,4a85b03862136b41bb833e43af262553376f30731673650745492668e72681b7
hs036,-3300.0,minimize,3,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs036.mod,f94216dd7228f283d013063b51223625358fcec6bd38e6d62fbe51210e677ff1,5d7f44a260abcf8e32ac67cb4c7c487273df489c82807bdf9d28eaceab3a837c
hs037,-3456.0,minimize,3,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs037.mod,d5cf7876dd082107206ad6b3dce147fe3cdf6efbdb1d307a0f07c28ae342ed2f,aa67f55d06ecf945f25278a1c937dc48352694842b07f9bdda19d5d3377b93e7
hs038,-0.0,minimize,4,0,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs038.mod,b654af7a37bf8eafe54265216ee529d82a26ca71cf8b23514d0ea56a801e0ad7,9517eca82fb79131910f43c04bab8f7a96aee9496e8fb81cb88ec4f70e679c43
hs039,-1.0,minimize,4,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs039.mod,6d957a2e8d6577aa2dff3a708d90b2e7bf096a55082d5562d28a0df58b18a21f,db579c2b687ae76a5827efb213b364b919244b934d20a078b493eaad40f62a11
hs040,-0.25,minimize,4,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs040.mod,24fcc7059f4c1b939bbd4880a565a1e0bcf747a7b8e17ea4825a845a90a91bb9,ec8c1e01d518723fba3afd759af261d9a6dc43e4193c69c9f82bcd89ff5659ce
hs041,1.9259259259259258,minimize,4,5,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs041.mod,1a89becda1651790692dc106630e259912f2ccb0c432b4114cff7651b65507a1,87078b9de9b34eb5f5aff676e67444a474771574ea179aad30272ceb4d9da63e
hs042,13.857864376269049,minimize,4,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs042.mod,3f0b24ca28050a5cf3ad50f94949e9eb08968fe62328c35179236d4f41262292,e5cd0fcd1429b7abbce30c6f169099b661498fdfc07b3af4628cb5f387c02d19
hs043,-44.0,minimize,4,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs043.mod,6169a899031fbd56139a42c7fa6b6f03af0e2d6cd3c0a985d91ce44ba5c6b379,39ce769542ea9ad4651c450704d1e3f9b529014cff4d1cb9712d7c4ecafcadd4
hs044,-15.0,minimize,4,6,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs044.mod,09098ce2df4e71a236e5b8533449fe900e17edf71b493a56432beb80a02656de,7278fac1d7d2dc29086a0cde4306d5131f4fb82ce8c1f16b5068b3c24066decb
hs045,1.0,minimize,5,0,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs045.mod,f4fe3b3a76c9d020f7bba68842fed491b68310087902c7db4503ea20197e2277,58c065637dc8ad980e968ca27cee2120c92369c6926f572e42bf0b960eecb1c4
hs046,-0.0,minimize,5,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs046.mod,0af53c518e951cc2fd6fd8f67fffd087e4bbe03d11ded59e26b0a5e6de4f6188,0f8809aee6f916db0741d86522547edf1c8991de7249a3e47f91d720172df4af
hs047,-0.0,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs047.mod,ae38e4443906330a788193e03439682b2a0098aa119dc0b174e4ef8b8f45c26b,82d8dcf8bc1a05274609d94a8790285b3ac7d18a58d000b16db8aa8732c7281e
hs048,-0.0,minimize,5,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs048.mod,0e6880099ded5c2ae9792a305f45de95aacd2e665449c0a5fb7d759958efba62,e0184e96b56f25a030b569a588b6dc6db251b291641e64558bc8d49228aabb7e
hs049,-0.0,minimize,5,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs049.mod,8367ce773e97e103ee55677de69ed9c42d61463c28cd8a3cde6aab9af828d72e,171d084e80cd21a2e1433cb1d831c9fdc20f1c13b20cb486b84de957a4bb8512
hs050,-0.0,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs050.mod,a205d603b0668e8f0696dedc539291d5f36775ae04d90bce2c00931c70f87bc8,7812ff1d9d2d7a211642ede28871fc5281ce3149a8670c371448387c4f4c309a
hs051,-0.0,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs051.mod,97db237d04a2a7c88ed715d9d4e69f3ef890fd1b4c5df86725fe828ae1ee362d,b19fb0820f7794588181f423570cad93b2c1ca17826210909a4df43b1b8e6426
hs052,5.326647564469914,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs052.mod,336e9471096e86872b5219bfc7d52ee826066d48aa4d126b394ff513c94efa25,6bab3c1878a1191c03ffdd6709ed27aeaf04c044aadb6f1e8465fde9af3f938c
hs053,4.093023255813954,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs053.mod,de24cb141df8c3d251415b39aac16747633296fc3e7b4c1abb8e12b443ab4492,f67b16d55bafcc3ac23f9607fd91391269594324f78ec58c09a7671e47aedfaf
hs060,0.03256820025,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs060.mod,7a469acb984983dccde1186b459e8a9bfc5b6dde9055e259ddc7da6fa8cf8614,db632b32f2ec938cf7e1631cbb1faa6a4604ece4215a9b05384ef75ecbdd23e0
hs061,-143.6461422,minimize,3,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs061.mod,51e4c1fd361146d29762323b8231d3795441872d063cb9477676a38c96be36e0,e870a8e4cf2639da7e1c6fbafaf125a223679075bff8ee271c344658385c648a
hs062,-26272.51448,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs062.mod,cdc00d86462d0430a4a54b89cfff7a7f74fd108dfc4fd3ae2afbba2b11fe97f0,8e9a44454d267d542e15414ccaa9096a80a696ba463498b55b5cf6be52d42617
hs063,961.7151721,minimize,3,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs063.mod,75545e78ca833f0b0e1f8185672f2abe1eaf5cd29a37d9e6a41c2db090bec0b5,91858b49894f9e4316981eac294e348b0a844334a6b2b3adff95400bffc2d061
hs064,6299.842428,minimize,3,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs064.mod,503fa09d03a3f63b7d3df0fc86145a76809a7e95e9b63840fd3df71f3170b19c,720e094c58784fb4c8897cb83e2ff085a85fffab5fab8e7665ffc1d49ea00850
hs065,0.9535288567,minimize,3,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs065.mod,4ee79778e6966d0a4af3b2889dee000e61d3a79b8c7044e48623cb6924a51d01,199baff2ffd5469d2d92e2d06ebde2b0226ce1e35c64712315c565b37f8e22aa
hs066,0.5181632741,minimize,3,5,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs066.mod,77eb059c22e9701de9b90c54ee96a5ff747f22bd0eb69b739361ebbc9ad8e264,9537e90b5c544a6bef7dd695f32ca756a574770f2c95e356e9898ab1427852eb
hs071,17.0140173,minimize,4,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs071.mod,213ccd70b4d1382cc92d604b65c8c5eb23a9b38878b284609ce1d04021d80188,ae20dc49b3da1c6c9f1aade23cddeb90767fa601c802f8dd5f2060b7bc602c90
hs073,29.894378,minimize,4,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs073.mod,a67daea265ce3683b73bbaf168a0e7cb3ed53a21e9367502d32f715de91d65b6,a649e605acccc9763fc99046efde67f760cfa7e139e570f87d090bc508174abb
hs076,-4.681818181,minimize,4,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs076.mod,5dd0e109d0d18d81e41ee72e2a9537e4f02cae8857999a2656ad317ace388bfb,39c587c66a327dfb2ffa64609fa072829077def3efa751c146191d1a0d254854
hs077,0.24150513,minimize,5,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs077.mod,07718b37ab52a7f14d39c165282c48f8a62e9fc154f044b2be5eb55c06e663aa,168d097c899c39f902f3141a9397e36eef5ca08c2919c25d87bb2d3d0fafb371
hs078,-2.91970041,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs078.mod,d68970d43bb962051019669d80b8eb4306f6396cb62854e60ed4f537ceb50bdd,4708863661a9f06e4adf57aa35db28a8b210816da556dbe2fbb3aff1c56c7d65
hs079,0.0787768209,minimize,5,3,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs079.mod,edf9bacdaab9e8b0d9633cc83523f055d38824ea1bcb25d22112b3218a5f66c5,cc597961fb7b4a4c1e09183113a1ca4f281d06c6805c492040c24584ba6b02e7
hs093,135.075961,minimize,6,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs093.mod,bb2563bea0cfa7f08830e3e2ad6327791e76f9f9340f329ce4d09be5050adaee,fcac413071f7269f26d4b79c32e504350cf06f805386ae70569b31a388715ae7
hs100,680.6300573,minimize,7,4,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs100.mod,98040834386820ce9a700dc6e418f8585e1abe6c3b47a0f76852292e2a41c991,3a3de5fac8ce23453b493688353011fcf71d5d3af35df965dd7ae8c234bd3de3
hs104,3.9511634396,minimize,8,6,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs104.mod,d62fc1c07643e7bb4e3c3177a34631ebe59b797cf43a32c017b8c016be2993b5,55450d9723fe66b9e8d48746c47668a1fa7bbb8ec3d8f42e88413d139ae3cd79
hs108,-0.8660254038,minimize,9,14,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs108.mod,7b6c45814df3697b3cb4b260f4b12d3bcb984bd26418f17f220a1c0eeff95bdd,e4d07003e2a6aa8159eceb630c73bf13f586435ecbb4cec6c40fde32b8098767
hs110,-45.77846971,minimize,10,0,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs110.mod,b38b4e0309884071dd85960b76b1b51d0cfb175932eb2d3c08d87cddaa3e3134,0bba76a5f82c3f3225cef4f2c7f7702536a1dd4dd9e28fed49905576576a74fb
hs113,24.3062091,minimize,10,8,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs113.mod,30e37c7b4d677bdfb9ab572b200e860386319e7ef1a8faf3c3c4a464f9c78af1,0a05ea68591112186b041c508c619b0bd6f71dec752698511c6c246bd776105c
